state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,gop_leads
Alabama,1001,Autauga ,20447,7429,28139,13018,0.7266427378371655,0.2640108035111411,0.4626319343260243,1
Alabama,1003,Baldwin ,95144,24763,120973,70381,0.786489547,0.2046985691021963,0.5817909781521498,1
Alabama,1005,Barbour ,5578,4120,9766,1458,0.5711652672537375,0.4218718001228753,0.1492934671308622,1
Alabama,1007,Bibb ,7563,1617,9230,5946,0.8193932827735645,0.1751895991332611,0.6442036836403033,1
Alabama,1009,Blount ,25271,2569,28024,22702,0.9017627747644876,0.091671424,0.8100913502711962,1
Alabama,1011,Bullock ,1099,2983,4104,-1884,0.2677875243664717,0.7268518518518519,-0.459064327,0
Alabama,1013,Butler ,5167,3248,8459,1919,0.6108287031564015,0.3839697363754581,0.2268589667809433,1
Alabama,1015,Calhoun ,34841,13170,48435,21671,0.7193351914937545,0.2719108082997832,0.4474243831939712,1
Alabama,1017,Chambers ,8704,5402,14215,3302,0.6123109391487865,0.3800211044671122,0.2322898346816743,1
Alabama,1019,Cherokee ,11342,1550,12965,9792,0.8748168145005785,0.1195526417277285,0.755264173,1
Alabama,1021,Chilton ,16901,2697,19708,14204,0.8575705297341181,0.1368479805155266,0.7207225492185914,1
Alabama,1023,Choctaw ,4094,2511,6633,1583,0.6172169455751545,0.378561737,0.2386552088044625,1
Alabama,1025,Clarke ,6956,4917,11927,2039,0.5832145552108661,0.4122579022386182,0.1709566529722478,1
Alabama,1027,Clay ,5693,986,6709,4707,0.8485616336264719,0.1469667610672231,0.7015948725592487,1
Alabama,1029,Cleburne ,6984,605,7633,6379,0.9149744530328836,0.079261103,0.8357133499279444,1
Alabama,1031,Coffee ,17457,4585,22214,12872,0.7858557666336544,0.2064013685063473,0.579454398,1
Alabama,1033,Colbert ,19614,7092,26940,12522,0.7280623608017818,0.2632516703786191,0.4648106904231626,1
Alabama,1035,Conecuh ,3423,2580,6043,843,0.5664405096806222,0.4269402614595399,0.1395002482210822,1
Alabama,1037,Coosa ,3750,1475,5253,2275,0.7138777841233581,0.2807919284218542,0.4330858557015039,1
Alabama,1039,Covington ,14664,2309,17054,12355,0.8598569250615692,0.1353934560806848,0.7244634689808843,1
Alabama,1041,Crenshaw ,4993,1453,6469,3540,0.7718349049312104,0.2246096769206987,0.5472252280105117,1
Alabama,1043,Cullman ,38669,4033,43010,34636,0.8990699837247151,0.093768891,0.8053010927691234,1
Alabama,1045,Dale ,14473,4478,19095,9995,0.7579471065724012,0.2345116522649908,0.5234354543074103,1
Alabama,1047,Dallas ,5188,10233,15523,-5045,0.3342137473426528,0.6592153578560845,-0.325001611,0
Alabama,1049,DeKalb ,25631,3757,29580,21874,0.866497634,0.1270114942528735,0.7394861392832994,1
Alabama,1051,Elmore ,31336,9764,41443,21572,0.7561228675530246,0.2356007045821972,0.5205221629708274,1
Alabama,1053,Escambia ,10866,3956,14902,6910,0.7291638706213931,0.265467722,0.4636961481680311,1
Alabama,1055,Etowah ,35470,9969,45780,25501,0.7747924858016602,0.2177588466579292,0.5570336391437309,1
Alabama,1057,Fayette ,7154,1141,8351,6013,0.856663873,0.1366303436714166,0.7200335289186924,1
Alabama,1059,Franklin ,10404,1566,12062,8838,0.8625435251202123,0.1298292157187862,0.732714309,1
Alabama,1061,Geneva ,10924,1389,12383,9535,0.8821771783897279,0.1121699103609787,0.7700072680287491,1
Alabama,1063,Greene ,885,3131,4033,-2246,0.2194396231093479,0.7763451524919415,-0.556905529,0
Alabama,1065,Hale ,3363,3861,7277,-498,0.4621409921671018,0.5305757867252989,-0.068434795,0
Alabama,1067,Henry ,6983,2259,9291,4724,0.7515875578516844,0.2431385211494995,0.5084490367021849,1
Alabama,1069,Houston ,32255,11258,43883,20997,0.7350226739284005,0.2565458150080897,0.4784768589203108,1
Alabama,1071,Jackson ,20073,3274,23507,16799,0.8539158548517463,0.1392776619730293,0.7146381928787169,1
Alabama,1073,Jefferson ,130991,161828,296319,-30837,0.4420607520948707,0.5461276529685912,-0.104066901,0
Alabama,1075,Lamar ,6028,805,6869,5223,0.8775658756733149,0.1171931867811908,0.7603726888921241,1
Alabama,1077,Lauderdale ,32615,10299,43332,22316,0.7526770054463214,0.2376765438936582,0.5150004615526631,1
Alabama,1079,Lawrence ,12961,2975,16043,9986,0.8078912921523406,0.1854391323318581,0.6224521598204824,1
Alabama,1081,Lee ,45883,25672,72430,20211,0.6334806019605136,0.3544387684661052,0.2790418334944083,1
Alabama,1083,Limestone ,37524,14452,52601,23072,0.7133704682420486,0.2747476283720841,0.4386228398699645,1
Alabama,1085,Lowndes ,1755,3865,5647,-2110,0.3107844873384098,0.684434213,-0.373649726,0
Alabama,1087,Macon ,1681,6069,7804,-4388,0.2154023577652486,0.7776781137878012,-0.562275756,0
Alabama,1089,Madison ,105149,87509,195749,17640,0.5371623865256017,0.4470469836372088,0.090115403,1
Alabama,1091,Marengo ,4990,4621,9658,369,0.5166701180368606,0.4784634499896459,0.038206668,1
Alabama,1093,Marion ,12238,1196,13515,11042,0.905512394,0.088494266,0.8170181280059194,1
Alabama,1095,Marshall ,34350,5535,40174,28815,0.8550306168168467,0.1377756758102255,0.7172549410066211,1
Alabama,1097,Mobile ,99981,71279,172972,28702,0.5780184076035427,0.4120840367227065,0.1659343708808361,1
Alabama,1099,Monroe ,5997,3736,9785,2261,0.6128768523249872,0.3818088911599386,0.2310679611650485,1
Alabama,1101,Montgomery ,30404,57734,89088,-27330,0.3412805316091954,0.6480558548850575,-0.306775323,0
Alabama,1103,Morgan ,40310,12343,53181,27967,0.7579774731577067,0.2320941689701209,0.5258833041875858,1
Alabama,1105,Perry ,1268,3170,4452,-1902,0.2848158131176999,0.7120395327942498,-0.42722372,0
Alabama,1107,Pickens ,5455,3385,8885,2070,0.6139561057962859,0.3809791783905458,0.232976927,1
Alabama,1109,Pike ,8213,4882,13186,3331,0.6228575762172001,0.3702411648718338,0.2526164113453663,1
Alabama,1111,Randolph ,9098,1919,11070,7179,0.8218608852755194,0.1733514001806684,0.648509485,1
Alabama,1113,Russell ,10047,10379,20604,-332,0.4876237623762376,0.5037371384197243,-0.016113376,0
Alabama,1115,St. Clair ,34873,7483,42644,27390,0.8177703780133195,0.1754760341431385,0.642294344,1
Alabama,1117,Shelby ,79522,32947,113758,46575,0.6990453418660666,0.2896235869125688,0.4094217549534978,1
Alabama,1119,Sumter ,1542,3722,5294,-2180,0.2912731394030978,0.7030600680015111,-0.411786929,0
Alabama,1121,Talladega ,22070,10878,33125,11192,0.6662641509433962,0.3283924528301887,0.3378716981132075,1
Alabama,1123,Tallapoosa ,14881,4974,19976,9907,0.7449439327192631,0.2489987985582699,0.4959451341609932,1
Alabama,1125,Tuscaloosa ,50617,33322,84695,17295,0.5976385855127221,0.3934352677253675,0.2042033177873545,1
Alabama,1127,Walker ,25393,4092,29665,21301,0.85599191,0.1379403337266138,0.7180515759312321,1
Alabama,1129,Washington ,6526,1859,8418,4667,0.7752435257780945,0.2208363031598954,0.5544072226181991,1
Alabama,1131,Wilcox ,1793,3449,5259,-1656,0.3409393420802434,0.6558281042023199,-0.314888762,0
Alabama,1133,Winston ,10190,882,11126,9308,0.915872731,0.079273773,0.8365989573970879,1
Alaska,2001,State House District 1,4859,3364,8223,1495,0.5909035631764563,0.4090964368235437,0.1818071263529125,1
